修正,5740,蔵王山 ,ざおうざん(ざおうさん),Zao Zan (Zao San) ,140 ゚ 26’ ,38 ゚ 09’ ,Mountain ,蔵王山 ,
修正,5438,荒船山 ,あらふねやま ,Arafune Yama ,138 ゚ 38’ ,36 ゚ 12’ ,Mountain ,荒船山 ,
修正,5238,八高山 ,はっこうさん ,Hakko San ,138 ゚ 03’ ,34 ゚ 54’ ,Mountain ,八高山 ,
修正,5536,宝達山 ,ほうだつさん ,Hodatsu San ,136 ゚ 48’ ,36 ゚ 46’ ,Mountain ,宝達山 ,
修正,5134,香東川 ,こうとうがわ ,Koto Gawa ,134 ゚ 01’ ,34 ゚ 21’ ,River ,香東川 ,
修正,5640,西吾妻山 ,にしあづまやま ,Nishiazuma Yama ,140 ゚ 08’ ,37 ゚ 44’ ,Mountain ,西吾妻山 ,
修正,5339,大岳山 ,おおだけさん ,Odake San ,139 ゚ 07’ ,35 ゚ 45’ ,Mountain ,大岳山 ,
修正,6041,折爪岳 ,おりつめだけ ,Oritsume Dake ,141 ゚ 22’ ,40 ゚ 16’ ,Mountain ,折爪岳 ,
修正,4730,紫尾山 ,しびさん ,Shibi San ,130 ゚ 21’ ,31 ゚ 58’ ,Mountain ,紫尾山 ,
修正,4830,白髪岳 ,しらがたけ ,Shiraga Take ,130 ゚ 48’ ,32 ゚ 27’ ,Mountain ,白髪岳 ,
修正,6441,樽前山 ,たるまえさん ,Tarumae San ,141 ゚ 21’ ,42 ゚ 41’ ,Mountain ,樽前山 ,
修正,6342,厚別川 ,あつべつがわ ,Atsubetsu Gawa ,142 ゚ 12’ ,42 ゚ 25’ ,River ,厚別川 ,
修正,6444,雪裡川 ,せっつりがわ ,Settsuri Gawa ,144 ゚ 20’ ,43 ゚ 12’ ,River ,雪裡川 ,
修正,5337,飛騨川 ,ひだがわ ,Hida Gawa ,137 ゚ 13’ ,35 ゚ 46’ ,River ,飛驒川,
修正,6440,堀株川 ,ほりかっぷがわ ,Horikappu Gawa ,140 ゚ 30’ ,43 ゚ 01’ ,River ,堀株川 ,
修正,5639,五十嵐川 ,いからしがわ ,Ikarashi Gawa ,139 ゚ 02’ ,37 ゚ 34’ ,River ,五十嵐川 ,
修正,5135,紀の川 ,きのかわ ,Kinokawa ,135 ゚ 07’ ,34 ゚ 12’ ,River ,紀ノ川,
修正,5539,未丈ヶ岳 ,みじょうがたけ ,Mijogatake ,139 ゚ 11’ ,37 ゚ 10’ ,Mountain ,未丈ガ岳,
修正,4831,耳川 ,みみかわ ,Mimi Kawa ,131 ゚ 37’ ,32 ゚ 19’ ,River ,耳川 ,
修正,6440,朱太川 ,しゅぶとがわ ,Shubuto Gawa ,140 ゚ 15’ ,42 ゚ 46’ ,River ,朱太川 ,
修正,4729,甑島列島 ,こしきしまれっとう ,Koshikishima Retto ,129 ゚ 46’ ,31 ゚ 50’ ,Extensive natural feature ,甑島列島 ,
修正,4729,上甑島 ,かみこしきしま ,Kamikoshiki Shima ,129 ゚ 50’ ,31 ゚ 50’ ,Island ,上甑島 ,
修正,4729,中甑島 ,なかこしきしま ,Nakakoshiki Shima ,129 ゚ 49’ ,31 ゚ 47’ ,Island ,中甑島 ,
修正,4729,下甑島 ,しもこしきしま ,Shimokoshiki Shima ,129 ゚ 45’ ,31 ゚ 41’ ,Island ,下甑島 ,
修正,4828,肥前鳥島 ,ひぜんとりしま ,Hizen-Tori Shima ,128 ゚ 06’ ,32 ゚ 14’ ,Island ,鳥島,
修正,6545,一菱内湖 ,いちびしないこ ,Ichibishinai Ko ,145 ゚ 29’ ,43 ゚ 52’ ,Lake ,一菱内湖 ,
修正,4128,奄美群島 ,あまみぐんとう ,Amami Gunto ,128 ゚ 49’ ,27 ゚ 41’ ,Extensive natural feature ,奄美諸島,
修正,5029,的山大島 ,あづちおおしま ,Azuchi-oshima ,129 ゚ 32’ ,33 ゚ 29’ ,Island ,的山大島 ,
修正,6545,歯舞群島 ,はぼまいぐんとう ,Habomai Gunto ,145 ゚ 55’ ,43 ゚ 23’ ,Extensive natural feature ,歯舞諸島,
修正,4929,小値賀島 ,おぢかしま ,Ojika Shiima ,129 ゚ 02’ ,33 ゚ 11’ ,Island ,小値賀島 ,
修正,3623,中御神島 ,なかのうがんじま ,Nakanougan Jima ,123 ゚ 33’ ,24 ゚ 11’ ,Island ,仲ノ御神島,
修正,5538,東頸城丘陵 ,ひがしくびききゅうりょう,Higashikubiki Kyuryo ,138 ゚ 35’ ,37 ゚ 15’ ,Extensive natural feature ,東頚城丘陵,
